N,Site,State,Nest,Tree,DBH,Stage,Ht
1,OLY_E,1,TC,PSME,70,5,7
2,OLY_E,1,TC,PSME,119,2,9
3,OLY_W,1,TC,PSME,162,6,10
4,OLY_E,1,TC,PSME,79,5,11
5,OLY_W,1,TC,TSHE,87,4,12
6,OLY_E,1,PL,PSME,30,2,13
7,OLY_W,1,SC,TSHE,95,4,13
8,OLY_E,1,SC,TSHE,49,2,14
9,OLY_E,1,SC,PSME,63,5,14
10,OLY_E,1,SC,THPL,113,4,15
11,OLY_E,1,TC,PIMO,78,4,15
12,OLY_E,1,TC,PSME,92,5,15
13,OLY_E,1,TC,PSME,68,4,16
14,OLY_E,1,TC,TSHE,104,5,16
15,OLY_E,1,TC,TSHE,41,5,16
16,OLY_W,1,SC,PSME,68,4,18
17,OLY_E,1,SC,PSME,64,4,18
18,OLY_W,1,SC,PSME,146,2,19
19,OLY_W,1,TC,TSHE,59,5,19
20,OLY_W,1,SC,TSHE,83,3,20
21,OLY_W,1,SC,TSHE,60,4,20
22,OLY_E,1,TC,THPL,62,4,21
23,OLY_W,1,SC,TSHE,80,3,22
24,OLY_W,1,SC,TSHE,106,4,22
25,OLY_W,1,SC,PSME,128,6,23
26,OLY_E,1,TC,ABAM,101,2,25
27,OLY_E,1,SC,PSME,50,2,26
28,OLY_E,1,TC,PSME,139,3,26
29,OLY_W,1,SC,THPL,121,4,26
30,OLY_E,1,PL,PSME,63,1,27
31,OLY_E,1,SC,ABAM,100,2,28
32,OLY_E,1,SC,THPL,222,5,28
33,OLY_W,1,SC,TSHE,53,2,29
34,OLY_E,1,TC,PSME,129,3,29
35,OLY_E,1,SC,TSHE,83,3,29
36,OLY_E,1,SC,TSHE,92,1,30
37,OLY_W,1,SC,TSHE,111,4,30
38,OLY_W,1,SC,TSHE,100,5,30
39,OLY_W,1,TC,PSME,122,2,31
40,OLY_E,1,SC,PSME,119,2,32
41,OLY_E,1,PL,TSHE,41,2,32
42,OLY_W,1,TC,TSHE,59,2,33
43,OLY_W,1,SC,TSHE,111,1,34
44,OLY_E,1,PL,PSME,63,1,34
45,OLY_W,1,SC,TSHE,60,2,34
46,OLY_E,1,TC,TSHE,59,2,34
47,OLY_E,1,TC,TSHE,78,3,34
48,OLY_E,1,SC,TSHE,132,4,34
49,OLY_E,1,SC,PSME,128,5,34
50,OLY_E,1,TC,PSME,109,2,35
51,OLY_W,1,TC,PSME,96,2,35
52,OLY_W,1,TC,PSME,90,2,35
53,OLY_E,1,TC,TSHE,89,2,35
54,OLY_W,1,SC,THPL,209,2,36
55,OLY_W,1,TC,PISI,151,2,36
