"N","Site","Nest","Tree","DBH","Stage","Ht","logDBH"
349,"COA","TC","PSME",142,2,44,4.95582705760126
351,"COA","SC","PSME",130,2,30,4.86753445045558
352,"COA","TC","PSME",120,2,24,4.78749174278205
353,"COA","TC","PSME",168,2,61,5.12396397940326
354,"COA","TC","PSME",197,2,54,5.28320372873799
355,"COA","TC","PSME",190,2,62,5.24702407216049
356,"COA","TC","PSME",177,2,60,5.17614973257383
357,"COA","SC","THPL",152,2,25,5.02388052084628
358,"COA","TC","PSME",132,2,53,4.88280192258637
359,"COA","TC","PSME",179,2,64,5.18738580584075
360,"COA","TC","PSME",189,2,65,5.24174701505964
361,"COA","TC","PSME",137,2,44,4.91998092582813
362,"COA","TC","PSME",138,2,27,4.92725368515721
363,"COA","TC","PSME",131,2,41,4.87519732320115
364,"COA","TC","PSME",132,2,33,4.88280192258637
365,"COA","TC","PSME",107,2,28,4.67282883446191
366,"COA","TC","PSME",149,2,52,5.00394630594546
367,"COA","TC","PSME",121,2,42,4.79579054559674
368,"COA","TC","PSME",196,2,59,5.27811465923052
369,"COA","TC","PSME",109,2,45,4.69134788222914
370,"COA","TC","PSME",180,2,37,5.19295685089021
371,"COA","TC","PSME",136,2,44,4.91265488573605
372,"COA","TC","PSME",171,2,57,5.14166355650266
373,"COA","TC","PSME",135,2,42,4.90527477843843
374,"COA","TC","PSME",94,2,37,4.54329478227
375,"COA","TC","PSME",142,2,53,4.95582705760126
376,"COA","TC","PSME",135,2,24,4.90527477843843
377,"COA","SC","TSHE",83,2,39,4.4188406077966
378,"COA","SC","THPL",168,1,40,5.12396397940326
379,"COA","TC","PSME",151,2,54,5.01727983681492
380,"COA","TC","PSME",127,2,44,4.84418708645859
381,"COA","TC","PSME",213,2,47,5.36129216570943
382,"COA","SC","PSME",122,2,36,4.80402104473326
383,"COA","TC","PSME",148,2,25,4.99721227376411
384,"COA","TC","PSME",91,2,54,4.51085950651685
385,"COA","TC","PSME",102,2,38,4.62497281328427
386,"COA","TC","PSME",188,2,40,5.23644196282995
387,"COA","TC","PSME",137,2,52,4.91998092582813
388,"COA","TC","PSME",144,2,38,4.969813299576
389,"COA","PL","PSME",149,1,52,5.00394630594546
391,"COA","TC","PSME",143,2,58,4.96284463025991
392,"COA","TC","PSME",117,2,46,4.76217393479776
393,"COA","TC","PSME",150,2,47,5.01063529409626
394,"COA","TC","PSME",171,2,50,5.14166355650266
395,"COA","TC","PSME",113,2,40,4.72738781871234
396,"COA","SC","PSME",188,2,40,5.23644196282995
397,"COA","TC","PSME",109,2,42,4.69134788222914
398,"COA","TC","PSME",142,2,45,4.95582705760126
399,"COA","TC","PSME",99,2,23,4.59511985013459
400,"COA","TC","PSME",153,2,40,5.03043792139244
401,"COA","TC","PSME",170,2,51,5.13579843705026
402,"COA","TC","PSME",130,2,33,4.86753445045558
403,"COA","TC","PSME",159,2,35,5.06890420222023
404,"COA","SC","PSME",93,1,56,4.53259949315326
405,"COA","TC","PSME",109,2,43,4.69134788222914
407,"COA","TC","PSME",145,2,33,4.97673374242057
408,"COA","SC","PSME",118,2,37,4.77068462446567
409,"COA","TC","PSME",161,1,52,5.08140436498446
410,"COA","SC","THPL",151,2,46,5.01727983681492
411,"COA","SC","PSME",170,2,34,5.13579843705026
412,"COA","TC","PSME",155,2,18,5.04342511691925
413,"COA","SC","PSME",183,2,33,5.20948615284142
414,"COA","SC","PSME",181,2,56,5.19849703126583
415,"COA","TC","PSME",193,2,47,5.26269018890489
416,"COA","SC","PSME",167,1,56,5.11799381241676
417,"COA","TC","PSME",111,2,34,4.70953020131233
418,"COA","SC","PSME",144,2,42,4.969813299576
419,"COA","TC","PSME",163,2,42,5.09375020080676
420,"COA","SC","PSME",123,2,26,4.81218435537242
