Data file S1. Salamander count data for harvest effect grids. Salamander counts by grid and sampling occasion at harvest effect grids for the most commonly encountered species (data are rarefied.). ,,,,,,,,,,,,,,,,
Unit,Grid,Trt,SlopeAzimuth,SlopeAspect,Year,Season,TrtPeriod,SamplePeriod,Check,Date,Precip,Temp,DWD,REBA,ZIZA,NOSL
1,1101A,Group,303,SW,2009,Spring,Post,4,1,90309,0,11.9,49.18,5,2,0
1,1101A,Group,303,SW,2009,Spring,Post,4,2,90424,0.25,12.2,49.18,2,1,0
1,1101A,Group,303,SW,2009,Spring,Post,4,3,90504,0.64,13.9,49.18,4,4,1
1,1101A,Group,303,SW,2009,Fall,Post,5,1,90912,0,18.6,49.18,0,0,0
1,1101A,Group,303,SW,2009,Fall,Post,5,2,90923,1.45,23.1,49.18,0,0,0
1,1101A,Group,303,SW,2009,Fall,Post,5,3,91013,0,10.8,49.18,13,0,0
1,1101A,Group,303,SW,2009,Fall,Post,5,4,91026,0.25,9.7,49.18,6,2,0
1,1101A,Group,303,SW,2009,Fall,Post,5,5,91106,0,4.7,49.18,4,2,0
1,1101A,Group,303,SW,2010,Spring,Post,6,1,100317,0,8.3,35.18,8,6,1
1,1101A,Group,303,SW,2010,Spring,Post,6,2,100402,0,12.8,35.18,5,1,0
1,1101A,Group,303,SW,2010,Spring,Post,6,3,100416,0,18.3,35.18,1,0,0
1,1101A,Group,303,SW,2010,Spring,Post,6,4,100430,0,13.9,35.18,1,0,0
1,1101A,Group,303,SW,2010,Fall,Post,7,1,100930,0,14.7,35.18,0,0,0
1,1101A,Group,303,SW,2010,Fall,Post,7,2,101012,0,18.6,35.18,2,0,0
1,1101A,Group,303,SW,2010,Fall,Post,7,3,101021,0.58,10,35.18,14,1,0
1,1101A,Group,303,SW,2010,Fall,Post,7,4,101108,0,4.4,35.18,0,0,0
1,1101A,Group,303,SW,2011,Spring,Post,8,1,110228,0,4.7,89.88,8,0,0
1,1101A,Group,303,SW,2011,Spring,Post,8,2,110314,0,3.3,89.88,19,6,0
1,1101A,Group,303,SW,2011,Spring,Post,8,3,110328,0,1.1,89.88,19,0,0
1,1101A,Group,303,SW,2011,Spring,Post,8,4,110412,0.23,12.2,89.88,6,1,0
1,1102A,Group,107,NE,2009,Spring,Post,4,1,90309,0,11.9,67.3,4,1,0
1,1102A,Group,107,NE,2009,Spring,Post,4,2,90423,0.56,8.6,67.3,2,0,0
1,1102A,Group,107,NE,2009,Spring,Post,4,3,90504,0.64,13.9,67.3,3,0,0
1,1102A,Group,107,NE,2009,Fall,Post,5,1,90912,0,18.6,67.3,0,0,0
1,1102A,Group,107,NE,2009,Fall,Post,5,2,90923,1.45,23.1,67.3,0,0,0
1,1102A,Group,107,NE,2009,Fall,Post,5,3,91013,0,10.8,67.3,6,2,0
1,1102A,Group,107,NE,2009,Fall,Post,5,4,91026,0.25,9.7,67.3,6,1,0
1,1102A,Group,107,NE,2009,Fall,Post,5,5,91106,0,4.7,67.3,0,4,0
1,1102A,Group,107,NE,2010,Spring,Post,6,1,100315,1.3,5.6,160.78,6,2,0
1,1102A,Group,107,NE,2010,Spring,Post,6,2,100401,0,13.6,160.78,1,2,0
1,1102A,Group,107,NE,2010,Spring,Post,6,3,100416,0,18.3,160.78,0,0,0
1,1102A,Group,107,NE,2010,Spring,Post,6,4,100430,0,13.9,160.78,0,0,0
1,1102A,Group,107,NE,2010,Fall,Post,7,1,100930,0,14.7,160.78,0,0,0
1,1102A,Group,107,NE,2010,Fall,Post,7,2,101012,0,18.6,160.78,0,0,0
1,1102A,Group,107,NE,2010,Fall,Post,7,3,101021,0.58,10,160.78,3,1,0
1,1102A,Group,107,NE,2010,Fall,Post,7,4,101108,0,4.4,160.78,0,1,0
1,1102A,Group,107,NE,2011,Spring,Post,8,1,110228,0,4.7,70.8,1,2,0
1,1102A,Group,107,NE,2011,Spring,Post,8,2,110314,0,3.3,70.8,7,2,0
